1774549701.201989 server started (47491): version 3.6a, socket /tmp/tmux-1000/default, protocol 8
1774549701.201999 on Linux 6.19.6-arch1-1 #1 SMP PREEMPT_DYNAMIC Wed, 04 Mar 2026 18:25:08 +0000
1774549701.202005 using libevent 2.1.12-stable poll
1774549701.202008 using ncurses 6.5 20240427
1774549701.202039 input_key_build: 0x10e003 (PasteStart) is \033[200~
1774549701.202042 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1774549701.202045 input_key_build: 0x10e25b (F1) is \033OP
1774549701.202048 input_key_build: 0x10e25c (F2) is \033OQ
1774549701.202051 input_key_build: 0x10e25d (F3) is \033OR
1774549701.202053 input_key_build: 0x10e25e (F4) is \033OS
1774549701.202056 input_key_build: 0x10e25f (F5) is \033[15~
1774549701.202059 input_key_build: 0x10e260 (F6) is \033[17~
1774549701.202061 input_key_build: 0x10e261 (F7) is \033[18~
1774549701.202064 input_key_build: 0x10e262 (F8) is \033[19~
1774549701.202067 input_key_build: 0x10e263 (F9) is \033[20~
1774549701.202069 input_key_build: 0x10e264 (F10) is \033[21~
1774549701.202072 input_key_build: 0x10e265 (F11) is \033[23~
1774549701.202075 input_key_build: 0x10e266 (F12) is \033[24~
1774549701.202078 input_key_build: 0x10e267 (IC) is \033[2~
1774549701.202080 input_key_build: 0x10e268 (DC) is \033[3~
1774549701.202083 input_key_build: 0x10e269 (Home) is \033[1~
1774549701.202086 input_key_build: 0x10e26a (End) is \033[4~
1774549701.202089 input_key_build: 0x10e26b (NPage) is \033[6~
1774549701.202091 input_key_build: 0x10e26c (PPage) is \033[5~
1774549701.202094 input_key_build: 0x10e26d (BTab) is \033[Z
1774549701.202097 input_key_build: 0x10e26e (Up) is \033[A
1774549701.202100 input_key_build: 0x10e26f (Down) is \033[B
1774549701.202102 input_key_build: 0x10e270 (Left) is \033[D
1774549701.202105 input_key_build: 0x10e271 (Right) is \033[C
1774549701.202108 input_key_build: 0x10e272 (KP/) is /
1774549701.202110 input_key_build: 0x10e273 (KP*) is *
1774549701.202113 input_key_build: 0x10e274 (KP-) is -
1774549701.202116 input_key_build: 0x10e275 (KP7) is 7
1774549701.202118 input_key_build: 0x10e276 (KP8) is 8
1774549701.202121 input_key_build: 0x10e277 (KP9) is 9
